Comparison,Valid Pixels,MAE,MSE,RMSE
naive_multi_elems.png,2023452,0.000000,0.000000,0.000000
naive_single_cam_cpu.png,2023452,0.000000,0.000000,0.000000
naive_single_cam_gpu.png,2023452,0.000000,0.000000,0.000000
naive_single_plane.png,2021127,0.003865,0.000950,0.030818
single_cam_fast_convol_less_greedy.png,1914711,0.121944,0.060695,0.246364
single_cam_fast_cost.png,1843076,0.178190,0.083272,0.288570
single_cam_fast_cost_cpu_cast.png,1843076,0.178190,0.083272,0.288570
single_cam_fp32.png,2023446,0.000099,0.000027,0.005188
single_cam_homography.png,2023446,0.000098,0.000027,0.005186
single_cam_homography_approx.png,2023448,0.000003,0.000000,0.000421
